({'capa_activacion': 'softmax', 'optimizador': 'Adafactor', 'num_capas': 1, 'num_neuronas': 32, 'learning_rate': 0.01}, 0.6315789222717285, 0.5931435823440552)
({'capa_activacion': 'tanh', 'optimizador': 'Ftrl', 'num_capas': 5, 'num_neuronas': 32, 'learning_rate': 0.01}, 0.5263158082962036, 0.6930011510848999)
({'capa_activacion': 'linear', 'optimizador': 'Adamax', 'num_capas': 4, 'num_neuronas': 32, 'learning_rate': 0.1}, 0.6578947305679321, 0.5082523822784424)
({'capa_activacion': 'tanh', 'optimizador': 'RMSprop', 'num_capas': 1, 'num_neuronas': 32, 'learning_rate': 0.001}, 0.7368420958518982, 0.35011300444602966)
({'capa_activacion': 'softmax', 'optimizador': 'Ftrl', 'num_capas': 2, 'num_neuronas': 256, 'learning_rate': 0.001}, 0.5263158082962036, 0.6929291486740112)
({'capa_activacion': 'linear', 'optimizador': 'Adagrad', 'num_capas': 4, 'num_neuronas': 1024, 'learning_rate': 0.001}, 0.6052631735801697, 0.5026097893714905)
({'capa_activacion': 'tanh', 'optimizador': 'AdamW', 'num_capas': 1, 'num_neuronas': 64, 'learning_rate': 0.01}, 0.7105262875556946, 0.7199843525886536)
({'capa_activacion': 'sigmoid', 'optimizador': 'AdamW', 'num_capas': 3, 'num_neuronas': 32, 'learning_rate': 0.0001}, 0.5263158082962036, 0.6923214197158813)
({'capa_activacion': 'sigmoid', 'optimizador': 'Ftrl', 'num_capas': 2, 'num_neuronas': 16, 'learning_rate': 0.001}, 0.5263158082962036, 0.6934009790420532)
({'capa_activacion': 'softmax', 'optimizador': 'Lion', 'num_capas': 1, 'num_neuronas': 512, 'learning_rate': 0.0001}, 0.6315789222717285, 0.6795361042022705)
({'capa_activacion': 'softmax', 'optimizador': 'Nadam', 'num_capas': 2, 'num_neuronas': 32, 'learning_rate': 0.1}, 0.7105262875556946, 0.5491642355918884)
({'capa_activacion': 'tanh', 'optimizador': 'Adam', 'num_capas': 1, 'num_neuronas': 256, 'learning_rate': 0.0001}, 0.7368420958518982, 0.4256158471107483)
({'capa_activacion': 'sigmoid', 'optimizador': 'Adadelta', 'num_capas': 3, 'num_neuronas': 16, 'learning_rate': 0.0001}, 0.5263158082962036, 0.6926699876785278)
({'capa_activacion': 'softmax', 'optimizador': 'Nadam', 'num_capas': 4, 'num_neuronas': 256, 'learning_rate': 0.1}, 0.5263158082962036, 0.696658730506897)
({'capa_activacion': 'tanh', 'optimizador': 'Ftrl', 'num_capas': 5, 'num_neuronas': 64, 'learning_rate': 0.1}, 0.5263158082962036, 0.6976038217544556)
