Match Number,Round Number,Home Team,Away Team,Winner,Home Team Goals,Away Team Goals,Match Goals
1,1,Internazionale,Slavia Praha,Slavia Praha,1,1,2
2,1,Lyon,Zenit St. Petersburg,Zenit,1,1,2
3,1,Napoli,Liverpool,Napoli,2,0,2
4,1,Salzburg,Genk,Salzburg,6,2,8
5,1,Borussia Dortmund,FC Barcelona,Barcelona,0,0,0
6,1,Benfica,Leipzig,Leipzig,1,2,3
7,1,Chelsea,Valencia,Valencia,0,1,1
8,1,Ajax,LOSC,Ajax,3,0,3
9,1,Club Brugge,Galatasaray,Galatasaray,0,0,0
10,1,Olympiacos,Tottenham Hotspur,Tottenham,2,2,4
11,1,Paris,Real Madrid,Paris,3,0,3
12,1,Bayern München,Crvena zvezda,Bayern,3,0,3
13,1,Dinamo Zagreb,Atlantas Klaipeda,Dinamo Zagreb,4,0,4
14,1,Shakhtar Donetsk,Manchester City,Man. City,0,3,3
15,1,Bayer Leverkusen,Lokomotiv Moskva,Lokomotiv Moskva,1,2,3
16,1,Atlético Madrid,Juventus,Juventus,2,2,4
17,2,Real Madrid,Club Brugge,Club Brugge,2,2,4
18,2,Atlantas Klaipeda,Shakhtar Donetsk,Shakhtar Donetsk,1,2,3
19,2,Galatasaray,Paris,Paris,0,1,1
20,2,Tottenham Hotspur,Bayern München,Bayern,2,7,9
21,2,Crvena zvezda,Olympiacos,Crvena zvezda,3,1,4
22,2,Manchester City,Dinamo Zagreb,Man. City,2,0,2
23,2,Juventus,Bayer Leverkusen,Juventus,3,0,3
24,2,Lokomotiv Moskva,Atlético Madrid,Atlético,0,2,2
25,2,Genk,Napoli,Napoli,0,0,0
26,2,Slavia Praha,Borussia Dortmund,Dortmund,0,2,2
27,2,Liverpool,Salzburg,Liverpool,4,3,7
28,2,FC Barcelona,Internazionale,Barcelona,2,1,3
29,2,Leipzig,Lyon,Lyon,0,2,2
30,2,Zenit St. Petersburg,Benfica,Zenit,3,1,4
31,2,LOSC,Chelsea,Chelsea,1,2,3
32,2,Valencia,Ajax,Ajax,0,3,3
33,3,Shakhtar Donetsk,Dinamo Zagreb,Dinamo Zagreb,2,2,4
34,3,Atlético Madrid,Bayer Leverkusen,Atlético,1,0,1
35,3,Club Brugge,Paris,Paris,0,5,5
36,3,Galatasaray,Real Madrid,Real Madrid,0,1,1
37,3,Olympiacos,Bayern München,Bayern,2,3,5
38,3,Tottenham Hotspur,Crvena zvezda,Tottenham,5,0,5
39,3,Manchester City,Atlantas Klaipeda,Man. City,5,1,6
40,3,Juventus,Lokomotiv Moskva,Juventus,2,1,3
41,3,Leipzig,Zenit St. Petersburg,Leipzig,2,1,3
42,3,Ajax,Chelsea,Chelsea,0,1,1
43,3,Salzburg,Napoli,Napoli,2,3,5
44,3,Genk,Liverpool,Liverpool,1,4,5
45,3,Internazionale,Borussia Dortmund,Internazionale,2,0,2
46,3,Slavia Praha,FC Barcelona,Barcelona,1,2,3
47,3,Benfica,Lyon,Benfica,2,1,3
48,3,LOSC,Valencia,Valencia,1,1,2
49,4,FC Barcelona,Slavia Praha,Slavia Praha,0,0,0
50,4,Zenit St. Petersburg,Leipzig,Leipzig,0,2,2
51,4,Napoli,Salzburg,Salzburg,1,1,2
52,4,Liverpool,Genk,Liverpool,2,1,3
53,4,Borussia Dortmund,Internazionale,Dortmund,3,2,5
54,4,Lyon,Benfica,Lyon,3,1,4
55,4,Chelsea,Ajax,Ajax,4,4,8
56,4,Valencia,LOSC,Valencia,4,1,5
57,4,Bayern München,Olympiacos,Bayern,2,0,2
58,4,Lokomotiv Moskva,Juventus,Juventus,1,2,3
59,4,Paris,Club Brugge,Paris,1,0,1
60,4,Real Madrid,Galatasaray,Real Madrid,6,0,6
61,4,Crvena zvezda,Tottenham Hotspur,Tottenham,0,4,4
62,4,Dinamo Zagreb,Shakhtar Donetsk,Shakhtar Donetsk,3,3,6
63,4,Atlantas Klaipeda,Manchester City,Man. City,1,1,2
64,4,Bayer Leverkusen,Atlético Madrid,Leverkusen,2,1,3
65,5,Galatasaray,Club Brugge,Club Brugge,1,1,2
66,5,Lokomotiv Moskva,Bayer Leverkusen,Leverkusen,0,2,2
67,5,Real Madrid,Paris,Paris,2,2,4
68,5,Crvena zvezda,Bayern München,Bayern,0,6,6
69,5,Tottenham Hotspur,Olympiacos,Tottenham,4,2,6
70,5,Atlantas Klaipeda,Dinamo Zagreb,Atalanta,2,0,2
71,5,Manchester City,Shakhtar Donetsk,Shakhtar Donetsk,1,1,2
72,5,Juventus,Atlético Madrid,Juventus,1,0,1
73,5,Zenit St. Petersburg,Lyon,Zenit,2,0,2
74,5,Valencia,Chelsea,Chelsea,2,2,4
75,5,Liverpool,Napoli,Napoli,1,1,2
76,5,Genk,Salzburg,Salzburg,1,4,5
77,5,FC Barcelona,Borussia Dortmund,Barcelona,3,1,4
78,5,Slavia Praha,Internazionale,Internazionale,1,3,4
79,5,Leipzig,Benfica,Benfica,2,2,4
80,5,LOSC,Ajax,Ajax,0,2,2
81,6,Napoli,Genk,Napoli,4,0,4
82,6,Salzburg,Liverpool,Liverpool,0,2,2
83,6,Borussia Dortmund,Slavia Praha,Dortmund,2,1,3
84,6,Internazionale,FC Barcelona,Barcelona,1,2,3
85,6,Lyon,Leipzig,Leipzig,2,2,4
86,6,Benfica,Zenit St. Petersburg,Benfica,3,0,3
87,6,Chelsea,LOSC,Chelsea,2,1,3
88,6,Ajax,Valencia,Valencia,0,1,1
89,6,Dinamo Zagreb,Manchester City,Man. City,1,4,5
90,6,Shakhtar Donetsk,Atlantas Klaipeda,Atalanta,0,3,3
91,6,Paris,Galatasaray,Paris,5,0,5
92,6,Club Brugge,Real Madrid,Real Madrid,1,3,4
93,6,Bayern München,Tottenham Hotspur,Bayern,3,1,4
94,6,Olympiacos,Crvena zvezda,Olympiacos,1,0,1
95,6,Bayer Leverkusen,Juventus,Juventus,0,2,2
96,6,Atlético Madrid,Lokomotiv Moskva,Atlético,2,0,2
97,R16 Game 1,Atlético Madrid,Liverpool,Atlético,1,0,1
98,R16 Game 1,Borussia Dortmund,Paris,Dortmund,2,1,3
99,R16 Game 1,Atlantas Klaipeda,Valencia,Atalanta,4,1,5
100,R16 Game 1,Tottenham Hotspur,Leipzig,Leipzig,0,1,1
101,R16 Game 1,Chelsea,Bayern München,Bayern,0,3,3
102,R16 Game 1,Napoli,FC Barcelona,Barcelona,1,1,2
103,R16 Game 1,Lyon,Juventus,Lyon,1,0,1
104,R16 Game 1,Real Madrid,Manchester City,Man. City,1,2,3
105,R16 Game 2,Valencia,Atlantas Klaipeda,Atalanta,3,4,7
106,R16 Game 2,Leipzig,Tottenham Hotspur,Leipzig,3,0,3
107,R16 Game 2,Liverpool,Atlético Madrid,Atlético,2,3,5
108,R16 Game 2,Paris,Borussia Dortmund,Paris,2,0,2
109,R16 Game 2,Juventus,Lyon,Juventus,2,1,3
110,R16 Game 2,Manchester City,Real Madrid,Man. City,2,1,3
111,R16 Game 2,Bayern München,Chelsea,Bayern,4,1,5
112,R16 Game 2,FC Barcelona,Napoli,Barcelona,3,1,4
113,Quarter Finals,Atlantas Klaipeda,Paris,Paris,1,2,3
114,Quarter Finals,Leipzig,Atlético Madrid,Leipzig,2,1,3
115,Quarter Finals,FC Barcelona,Bayern München,Bayern,2,8,10
116,Quarter Finals,Manchester City,Lyon,Lyon,1,3,4
121,Semi Finals,Leipzig,Paris,Paris,0,3,3
122,Semi Finals,Lyon,Bayern München,Bayern,0,3,3
125,Final,Paris,Bayern München,Bayern,0,1,1
