Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
1,1,18,44,1 - 1,44,1,1,2,Internazionale,Slavia Praha,0,0,0.5,0.5
2,1,27,30,1 - 1,30,1,1,2,Olympique Lyon,Zenit St. Petersburg,0,0,0.5,0.5
3,1,16,5,2 - 0,16,2,0,2,Napoli,Liverpool,1,2,1.0,0.0
4,1,28,78,6 - 2,28,6,2,8,FC Salzburg,Racing Genk,1,4,0.75,0.25
5,1,13,3,0 - 0,3,0,0,0,Borussia Dortmund,FC Barcelona,0,0,,
6,1,20,24,1 - 2,24,1,2,3,Benfica,RB Leipzig,0,-1,0.3333333333333333,0.6666666666666666
7,1,9,63,0 - 1,63,0,1,1,Chelsea,Valencia,0,-1,0.0,1.0
8,1,17,71,3 - 0,17,3,0,3,Ajax,Lille OSC,1,3,1.0,0.0
9,1,31,64,0 - 0,64,0,0,0,Club Brugge,Galatasaray,0,0,,
10,1,41,23,2 - 2,23,2,2,4,Olympiakos Piraeus,Tottenham Hotspur,0,0,0.5,0.5
11,1,8,1,3 - 0,8,3,0,3,Paris Saint-Germain,Real Madrid,1,3,1.0,0.0
12,1,2,570,3 - 0,2,3,0,3,Bayern München,Crvena zvezda,1,3,1.0,0.0
13,1,43,504,4 - 0,43,4,0,4,Dinamo Zagreb,Atlantas Klaipeda,1,4,1.0,0.0
14,1,21,4,0 - 3,4,0,3,3,Shakhtar Donetsk,Manchester City,0,-3,0.0,1.0
15,1,22,74,1 - 2,74,1,2,3,Bayer Leverkusen,Lokomotiv Moscow,0,-1,0.3333333333333333,0.6666666666666666
16,1,7,6,2 - 2,6,2,2,4,Atlético Madrid,Juventus,0,0,0.5,0.5
17,2,1,31,2 - 2,31,2,2,4,Real Madrid,Club Brugge,0,0,0.5,0.5
18,2,504,21,1 - 2,21,1,2,3,Atlantas Klaipeda,Shakhtar Donetsk,0,-1,0.3333333333333333,0.6666666666666666
19,2,64,8,0 - 1,8,0,1,1,Galatasaray,Paris Saint-Germain,0,-1,0.0,1.0
20,2,23,2,2 - 7,2,2,7,9,Tottenham Hotspur,Bayern München,0,-5,0.2222222222222222,0.7777777777777778
21,2,570,41,3 - 1,570,3,1,4,Crvena zvezda,Olympiakos Piraeus,1,2,0.75,0.25
22,2,4,43,2 - 0,4,2,0,2,Manchester City,Dinamo Zagreb,1,2,1.0,0.0
23,2,6,22,3 - 0,6,3,0,3,Juventus,Bayer Leverkusen,1,3,1.0,0.0
