Match Number,Round Number,Home Team,Away Team,Result,Winner
1,1,AC Milan,Newcastle,0 - 0
2,1,Young Boys,RB Leipzig,1 - 3
3,1,Feyenoord,Celtic,2 - 0
4,1,Lazio,Atlético Madrid,1 - 1
5,1,Paris Saint-Germain,Borussia Dortmund,2 - 0
6,1,Manchester City,Crvena zvezda,3 - 1
7,1,FC Barcelona,Antwerp,5 - 0
8,1,Shakhtar Donetsk,FC Porto,1 - 3
9,1,Galatasaray,FC København,2 - 2
10,1,Real Madrid,Union Berlin,1 - 0
11,1,Bayern München,Manchester United,4 - 3
12,1,Sevilla,Lens,1 - 1
13,1,Arsenal,PSV Eindhoven,4 - 0
14,1,Braga,Napoli,1 - 2
15,1,Real Sociedad,Internazionale,1 - 1
16,1,Benfica,FC Salzburg,0 - 2
17,2,Union Berlin,Braga,2 - 3
18,2,FC Salzburg,Real Sociedad,0 - 2
19,2,Manchester United,Galatasaray,2 - 3
20,2,FC København,Bayern München,1 - 2
21,2,Lens,Arsenal,2 - 1
22,2,PSV Eindhoven,Sevilla,2 - 2
23,2,Napoli,Real Madrid,2 - 3
24,2,Internazionale,Benfica,1 - 0
25,2,Atlético Madrid,Feyenoord,3 - 2
26,2,Antwerp,Shakhtar Donetsk,2 - 3
27,2,Celtic,Lazio,1 - 2
28,2,Borussia Dortmund,AC Milan,0 - 0
29,2,Newcastle,Paris Saint-Germain,4 - 1
30,2,RB Leipzig,Manchester City,1 - 3
31,2,Crvena zvezda,Young Boys,2 - 2
32,2,FC Porto,FC Barcelona,0 - 1
33,3,Galatasaray,Bayern München,1 - 3
34,3,Internazionale,FC Salzburg,2 - 1
35,3,Manchester United,FC København,1 - 0
36,3,Sevilla,Arsenal,1 - 2
37,3,Lens,PSV Eindhoven,1 - 1
38,3,Braga,Real Madrid,1 - 2
39,3,Union Berlin,Napoli,0 - 1
40,3,Benfica,Real Sociedad,0 - 1
41,3,Feyenoord,Lazio,3 - 1
42,3,FC Barcelona,Shakhtar Donetsk,2 - 1
43,3,Celtic,Atlético Madrid,2 - 2
44,3,Paris Saint-Germain,AC Milan,3 - 0
45,3,Newcastle,Borussia Dortmund,0 - 1
46,3,RB Leipzig,Crvena zvezda,3 - 1
47,3,Young Boys,Manchester City,1 - 3
48,3,Antwerp,FC Porto,1 - 4
49,4,Borussia Dortmund,Newcastle,2 - 0
50,4,Shakhtar Donetsk,FC Barcelona,1 - 0
51,4,Atlético Madrid,Celtic,6 - 0
52,4,Lazio,Feyenoord,1 - 0
53,4,AC Milan,Paris Saint-Germain,2 - 1
54,4,Manchester City,Young Boys,3 - 0
55,4,Crvena zvezda,RB Leipzig,1 - 2
56,4,FC Porto,Antwerp,2 - 0
57,4,Napoli,Union Berlin,1 - 1
58,4,Real Sociedad,Benfica,3 - 1
59,4,Bayern München,Galatasaray,2 - 1
60,4,FC København,Manchester United,4 - 3
61,4,Arsenal,Sevilla,2 - 0
62,4,PSV Eindhoven,Lens,1 - 0
63,4,Real Madrid,Braga,3 - 0
64,4,FC Salzburg,Internazionale,0 - 1
65,5,Lazio,Celtic,2 - 0
66,5,Shakhtar Donetsk,Antwerp,1 - 0
67,5,Feyenoord,Atlético Madrid,1 - 3
68,5,Paris Saint-Germain,Newcastle,1 - 1
69,5,AC Milan,Borussia Dortmund,1 - 3
70,5,Manchester City,RB Leipzig,3 - 2
71,5,Young Boys,Crvena zvezda,2 - 0
72,5,FC Barcelona,FC Porto,2 - 1
73,5,Galatasaray,Manchester United,3 - 3
74,5,Sevilla,PSV Eindhoven,2 - 3
75,5,Bayern München,FC København,0 - 0
76,5,Arsenal,Lens,6 - 0
77,5,Real Madrid,Napoli,4 - 2
78,5,Braga,Union Berlin,1 - 1
79,5,Benfica,Internazionale,3 - 3
80,5,Real Sociedad,FC Salzburg,0 - 0
81,6,Lens,Sevilla,2 - 1
82,6,PSV Eindhoven,Arsenal,1 - 1
83,6,Manchester United,Bayern München,0 - 1
84,6,FC København,Galatasaray,1 - 0
85,6,Napoli,Braga,2 - 0
86,6,Union Berlin,Real Madrid,2 - 3
87,6,Internazionale,Real Sociedad,0 - 0
88,6,FC Salzburg,Benfica,1 - 3
89,6,RB Leipzig,Young Boys,2 - 1
90,6,Crvena zvezda,Manchester City,2 - 3
91,6,Atlético Madrid,Lazio,2 - 0
92,6,Celtic,Feyenoord,2 - 1
93,6,Borussia Dortmund,Paris Saint-Germain,1 - 1
94,6,Newcastle,AC Milan,1 - 2
95,6,FC Porto,Shakhtar Donetsk,5 - 3
96,6,Antwerp,FC Barcelona,3 - 2
97,7,RB Leipzig,Real Madrid,0 - 1
98,7,FC København,Manchester City,1 - 3
99,7,Lazio,Bayern München,1 - 0
100,7,Paris Saint-Germain,Real Sociedad,2 - 0
101,7,Internazionale,Atlético Madrid,1 - 0
102,7,PSV Eindhoven,Borussia Dortmund,1 - 1
103,7,FC Porto,Arsenal,1 - 0
104,7,Napoli,FC Barcelona,1 - 1
105,8,Bayern München,Lazio,3 - 0
106,8,Real Sociedad,Paris Saint-Germain,1 - 2
107,8,Real Madrid,RB Leipzig,1 - 1
108,8,Manchester City,FC København,3 - 1
109,8,Arsenal,FC Porto,1 - 0
110,8,FC Barcelona,Napoli,3 - 1
111,8,Atlético Madrid,Internazionale,2 - 1
112,8,Borussia Dortmund,PSV Eindhoven,2 - 0
113,9,Atlético Madrid,Borussia Dortmund,2 - 1,Atlético Madrid
114,9,Paris Saint-Germain,FC Barcelona,2 - 3,FC Barcelona
115,9,Arsenal,Bayern München,2 - 2,Bayern München
116,9,Real Madrid,Manchester City,3 - 3,Real Madrid
117,10,Borussia Dortmund,Atlético Madrid,4 - 2,Borussia Dortmund
118,10,FC Barcelona,Paris Saint-Germain,1 - 4,Paris Saint-Germain
119,10,Bayern München,Arsenal,1 - 0,Bayern München
120,10,Manchester City,Real Madrid,1 - 1,Real Madrid
121,11,Borussia Dortmund,Paris Saint-Germain,
122,11,Bayern München,Real Madrid,
123,12,Paris Saint-Germain,Borussia Dortmund,
124,12,Real Madrid,Bayern München,
125,13,
