Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
1,1.0,15,27,1 - 2,62,1,2,3,Benfica,CSKA Moscow,0,-1,0.3333333333333333,0.6666666666666666,4.0,17.0,0,
2,1.0,10,19,3 - 0,11,3,0,3,Manchester United,FC Basel,1,3,1.0,0.0,20.0,19.0,0,
13,1.0,1,26,3 - 0,2,3,0,3,Bayern München,Anderlecht,1,3,1.0,0.0,29.0,6.0,0,
14,1.0,25,7,0 - 5,8,0,5,5,Celtic,Paris Saint-Germain,0,-5,0.0,1.0,8.0,19.0,0,
25,1.0,8,28,6 - 0,9,6,0,6,Chelsea,Qarabag FK,1,6,1.0,0.0,18.0,6.0,0,
26,1.0,13,6,0 - 0,7,0,0,0,AS Roma,Atlético Madrid,0,0,,,25.0,28.0,1,7.0
37,1.0,2,5,3 - 0,3,3,0,3,FC Barcelona,Juventus,1,3,1.0,0.0,25.0,23.0,0,
38,1.0,23,20,2 - 3,29,2,3,5,Olympiakos Piraeus,Sporting CP Lisbon,0,-1,0.4,0.6,5.0,17.0,0,
49,1.0,31,30,1 - 1,115,1,1,2,NK Maribor,Spartak Moscow,0,0,0.5,0.5,7.0,11.0,0,
50,1.0,4,9,2 - 2,10,2,2,4,Liverpool,Sevilla,0,0,0.5,0.5,30.0,21.0,0,
61,1.0,21,3,0 - 4,4,0,4,4,Feyenoord,Manchester City,0,-4,0.0,1.0,6.0,22.0,0,
62,1.0,16,14,2 - 1,21,2,1,3,Shakhtar Donetsk,Napoli,1,1,0.6666666666666666,0.3333333333333333,19.0,10.0,0,
73,1.0,18,22,1 - 1,37,1,1,2,RB Leipzig,AS Monaco,0,0,0.5,0.5,17.0,6.0,0,
74,1.0,11,24,1 - 3,46,1,3,4,FC Porto,Besiktas,0,-2,0.25,0.75,17.0,19.0,0,
85,1.0,0,29,3 - 0,1,3,0,3,Real Madrid,APOEL Nicosia,1,3,1.0,0.0,32.0,6.0,0,
86,1.0,17,12,3 - 1,23,3,1,4,Tottenham Hotspur,Borussia Dortmund,1,2,0.75,0.25,21.0,10.0,0,
51,2.0,9,31,3 - 0,10,3,0,3,Sevilla,NK Maribor,1,3,1.0,0.0,21.0,7.0,0,
52,2.0,30,4,1 - 1,5,1,1,2,Spartak Moscow,Liverpool,0,0,0.5,0.5,11.0,30.0,0,
63,2.0,14,21,3 - 1,16,3,1,4,Napoli,Feyenoord,1,2,0.75,0.25,10.0,6.0,0,
64,2.0,3,16,2 - 0,4,2,0,2,Manchester City,Shakhtar Donetsk,1,2,1.0,0.0,22.0,19.0,0,
75,2.0,24,18,2 - 0,46,2,0,2,Besiktas,RB Leipzig,1,2,1.0,0.0,19.0,17.0,0,
76,2.0,22,11,0 - 3,12,0,3,3,AS Monaco,FC Porto,0,-3,0.0,1.0,6.0,17.0,0,
87,2.0,12,0,1 - 3,1,1,3,4,Borussia Dortmund,Real Madrid,0,-2,0.25,0.75,10.0,32.0,0,
88,2.0,29,17,0 - 3,23,0,3,3,APOEL Nicosia,Tottenham Hotspur,0,-3,0.0,1.0,6.0,21.0,0,
