Equipo,Probabilidad Victoria,Probabilidad Empate,Probabilidad Derrota
Bayern München,0.3903333333333333,0.3,0.3096666666666667
Manchester City,0.2758888888888889,0.3,0.42411111111111116
Liverpool,0.31733333333333336,0.3,0.38266666666666665
Real Madrid,0.5574444444444444,0.3,0.1425555555555556
Paris Saint-Germain,0.515,0.3,0.185
FC Barcelona,0.33344444444444443,0.3,0.3665555555555556
Chelsea,0.23777777777777775,0.3,0.46222222222222226
Juventus,0.24877777777777776,0.3,0.45122222222222225
Ajax,0.21405555555555555,0.3,0.48594444444444446
Borussia Dortmund,0.1928888888888889,0.3,0.5071111111111111
RB Leipzig,0.418,0.3,0.2820000000000001
FC Porto,0.2117777777777778,0.3,0.48822222222222217
Tottenham Hotspur,0.435,0.3,0.26499999999999996
Benfica,0.17577777777777776,0.3,0.5242222222222221
Napoli,0.45999999999999996,0.3,0.24000000000000005
Internazionale,0.19266666666666665,0.3,0.5073333333333334
Manchester United,0.23466666666666666,0.3,0.4653333333333333
Atlético Madrid,0.518,0.3,0.182
Shakhtar Donetsk,0.44499999999999995,0.3,0.25500000000000006
FC Salzburg,0.40449999999999997,0.3,0.29550000000000004
Atlantas Klaipeda,0.30124999999999996,0.3,0.39875
Sevilla,0.504,0.3,0.196
AS Roma,0.472,0.3,0.22800000000000004
Club Brugge,0.39549999999999996,0.3,0.30450000000000005
Sporting CP Lisbon,0.40349999999999997,0.3,0.29650000000000004
Olympique Lyon,0.40549999999999997,0.3,0.29450000000000004
Zenit St. Petersburg,0.396,0.3,0.304
AC Milan,0.21122222222222223,0.3,0.4887777777777778
Villarreal,0.45099999999999996,0.3,0.24900000000000005
Valencia,0.357,0.3,0.343
CSKA Moscow,0.357,0.3,0.343
Borussia Mönchengladbach,0.352,0.3,0.34800000000000003
Besiktas,0.374,0.3,0.326
Olympiakos Piraeus,0.38,0.3,0.32
Dinamo Zagreb,0.3775,0.3,0.32250000000000006
FC Basel,0.4065,0.3,0.29350000000000004
Lokomotiv Moscow,0.3445,0.3,0.3555
Lazio,0.393,0.3,0.307
Viktoria Plzen,0.358,0.3,0.342
Lille OSC,0.347,0.3,0.35300000000000004
1899 Hoffenheim,0.323,0.3,0.37700000000000006
Young Boys,0.362,0.3,0.338
Olympique Marseille,0.09288888888888888,0.3,0.6071111111111112
Celtic,0.0808888888888889,0.3,0.6191111111111112
Spartak Moscow,0.3305,0.3,0.3695
Bayer Leverkusen,0.44,0.3,0.26000000000000006
AS Monaco,0.386,0.3,0.314
Crvena zvezda,0.3,0.3,0.39999999999999997
Schalke 04,0.365,0.3,0.335
Istanbul Basaksehir,0.33949999999999997,0.3,0.3605000000000001
Sheriff Tiraspol,0.33225,0.3,0.3677500000000001
Maccabi Haifa,0.3175,0.3,0.3825
Eintracht Frankfurt,0.388,0.3,0.312
PSV Eindhoven,0.1088888888888889,0.3,0.5911111111111111
Galatasaray,0.356,0.3,0.34400000000000003
FK Krasnodar,0.3485,0.3,0.3515
Feyenoord,0.09988888888888889,0.3,0.600111111111111
Racing Genk,0.34099999999999997,0.3,0.35900000000000004
Dynamo Kyiv,0.39349999999999996,0.3,0.30650000000000005
Ferencváros,0.33849999999999997,0.3,0.3615
VfL Wolfsburg,0.3625,0.3,0.33749999999999997
Slavia Praha,0.3745,0.3,0.32549999999999996
FC Midtjylland,0.33949999999999997,0.3,0.3605000000000001
NK Maribor,0.328,0.3,0.37199999999999994
Stade Rennais,0.354,0.3,0.34600000000000003
Anderlecht,0.3635,0.3,0.3365000000000001
Qarabag FK,0.353,0.3,0.34700000000000003
APOEL Nicosia,0.33999999999999997,0.3,0.36000000000000004
AEK Athens,0.324,0.3,0.37599999999999995
Glasgow Rangers,0.36824999999999997,0.3,0.33175000000000004
Malmö FF,0.33849999999999997,0.3,0.3615
FC København,0.3825,0.3,0.31749999999999995
