Equipo,Victorias
Liverpool,43
Real Madrid,43
Bayern,42
Barcelona,36
Man. City,35
Juventus,32
Paris,31
Chelsea,30
Porto,25
Ajax,24
Dortmund,20
Benfica,19
Atlético,18
Napoli,18
Sevilla,18
Leipzig,17
Tottenham,16
Shakhtar Donetsk,15
Inter,14
Club Brugge,13
Man City,13
Man. United,12
Salzburg,11
Roma,11
Atalanta,10
Sporting CP,9
Milan,9
Bayern Munich,9
Valencia,8
Lyon,7
Tottenham Hotspur,7
Manchester United,6
Internazionale,6
Manchester City,6
Villarreal,6
Basel,5
Paris Saint-Germain,5
Lazio,5
Zenit,5
Lokomotiv Moskva,4
Besiktas,4
Atlético Madrid,4
Leverkusen,4
Schalke,4
Dinamo Zagreb,3
CSKA Moscow,3
Krasnodar,3
Mönchengladbach,3
Marseille,3
LOSC,3
Frankfurt,3
Sheriff,3
CSKA Moskva,3
Monaco,3
Young Boys,3
Slavia Praha,2
Spartak Moscow,2
Plzen,2
Crvena zvezda,2
Hoffenheim,2
Olympiacos,2
Galatasaray,2
Celtic,2
Dynamo Kyiv,2
RB Leipzig,2
Wolfsburg,2
Qarabag,1
Borussia Dortmund,1
Istanbul Basaksehir,1
APOEL,1
Midtjylland,1
Maribor,1
Anderlecht,1
Feyenoord,1
PSV,1
M. Haifa,1
